Seg,CX,CY,Area,Peri,Dia,Asy,Cir,Bord,Comp,label
1.0,68.0,49.0,3169.5,232.32590079307556,78.0,1.5294117647058822,0.23488511079399568,17.02960220202366,1.3551726846703456,B
1.0,50.0,36.0,3385.0,239.39696836471558,67.0,1.0307692307692307,0.23625519754108446,16.93084444969472,1.3473137924444478,B
1.0,100.0,76.0,7301.5,365.86500453948975,114.0,0.8157894736842105,0.2181877378469982,18.332835930518502,1.4588807296173634,B
1.0,40.0,30.0,2892.5,211.2964632511139,65.0,1.1403508771929824,0.25914862175587344,15.435158299889135,1.2282908704166258,B
1.0,114.0,79.0,12379.0,481.96550989151,144.0,1.2857142857142858,0.21316388801160605,18.764904493495695,1.4932636533935795,B
1.0,74.0,57.0,4689.5,277.4385986328125,85.0,1.1643835616438356,0.24369845016771702,16.41372769193706,1.3061629483680544,B
1.0,38.0,23.0,3076.0,365.7401143312454,77.0,1.3275862068965518,0.09198163601846315,43.48694123245529,3.4605808285460093,M
1.0,49.0,35.0,2135.0,181.74011421203613,55.0,1.1224489795918366,0.2585569865072671,15.470477336676316,1.2311014700615879,M
1.0,36.0,25.0,3372.0,271.4558435678482,72.0,1.3333333333333333,0.18304133186310217,21.852987843158978,1.7390055182829238,M
1.0,46.0,37.0,5113.5,315.78174459934235,91.0,1.1818181818181819,0.20511820725866,19.500950468799118,1.5518363310497965,M
1.0,46.0,28.0,3148.0,242.911687374115,71.0,1.1639344262295082,0.21340170914650172,18.74399233257299,1.4915995165027887,M
1.0,41.0,26.0,3328.5,244.81118178367615,76.0,1.2459016393442623,0.22214986407291512,18.005862919128777,1.4328610441072043,M
1.0,61.0,59.0,4586.5,280.1248903274536,86.0,1.2112676056338028,0.2337964918099778,17.10889658366247,1.3614827310689617,B
1.0,47.0,32.0,1652.0,166.0832599401474,49.0,0.9387755102040817,0.23956221108884257,16.69712423265531,1.3287149285232813,M
1.0,53.0,37.0,4953.5,465.63960921764374,102.0,1.3246753246753247,0.09138445507501733,43.77112055563944,3.4831951005506427,M
1.0,78.0,56.0,4159.0,269.39696848392487,77.0,0.8831168831168831,0.22922580315316415,17.450042468941767,1.3886302580477918,B
1.0,140.0,84.0,12961.0,457.9066344499588,137.0,0.8978102189781022,0.24725474234552655,16.17764723966424,1.2873762628947598,M
1.0,48.0,35.0,2260.0,188.911687374115,55.0,1.0576923076923077,0.2533090907924777,15.790984790502371,1.2566066428486948,M
1.0,26.0,47.0,1518.0,159.79898953437805,46.0,1.15,0.23778458958620746,16.821947994867106,1.3386480879089484,M
1.0,101.0,70.0,7563.0,364.65180122852325,106.0,1.06,0.2275083629427815,17.581771273199315,1.3991129032203786,B
1.0,49.0,33.0,4043.0,506.9949470758438,102.0,1.3246753246753247,0.06291532881072391,63.57751084848817,5.059337560507746,B
1.0,52.0,39.0,2362.5,197.9827550649643,58.0,1.0740740740740742,0.24108882569414733,16.591395260577205,1.3203012842561535,M
1.0,30.0,39.0,2323.5,196.32590091228485,61.0,0.8032786885245902,0.24112790343641802,16.588706420925455,1.3200873131952746,B
1.0,78.0,54.0,5156.0,278.1665208339691,82.0,1.0379746835443038,0.26654048448212836,15.007101108005232,1.1942271614094462,B
1.0,44.0,38.0,2800.0,213.3969682455063,64.0,0.890625,0.24594700171796346,16.263666448704864,1.2942214540545953,B
1.0,83.0,69.0,11901.5,447.0365777015686,132.0,1.11864406779661,0.238218547832914,16.79130376869559,1.3362094978727372,B
1.0,76.0,56.0,7757.5,351.3797231912613,102.0,0.9705882352941176,0.2513207706912187,15.915914904281973,1.2665482654232232,M
1.0,39.0,28.0,4133.0,286.1421353816986,77.0,1.3275862068965518,0.20191183185653122,19.810627060439955,1.5764796112095416,M
1.0,46.0,29.0,3735.5,249.49747371673584,75.0,1.271186440677966,0.24003602542264457,16.664165276678702,1.3260921381418687,B
